"","ct20_id","zip","median_price","median_flip_horizon","perc_investor","r_mhi","o_mhi","lat.x","nhas","nhna","nhaa","nhwhi","pop_65o","pop_18_64","pop_u18","male","female","pop","num_sales_transactions","sum_institutional_investor","sum_large_investor","sum_medium_investor","sum_small_investor","sum_non_investor","median_intersf","mortgage.x"
"178963",25025110106,2130,457000,2757,0.461988304093567,0,105958,348,68,0,160,710,189,947,220,606,750,1356,171,5,0,2,6,158,1281,340000
"179006",25025110106,2136,457000,2757,0.461988304093567,0,105958,348,68,0,160,710,189,947,220,606,750,1356,171,5,0,2,6,158,1281,340000
"179410",25025981100,2131,478000,1671,0.45,0,0,44,0,0,19,27,1,92,4,90,7,97,20,0,2,0,0,18,1308,330800
"179411",25025981100,2130,478000,1671,0.45,0,0,44,0,0,19,27,1,92,4,90,7,97,20,0,2,0,0,18,1308,330800
"179431",25025981100,2136,478000,1671,0.45,0,0,44,0,0,19,27,1,92,4,90,7,97,20,0,2,0,0,18,1308,330800
"179443",25025010408,2215,399000,2586.5,0.388429752066116,66736,84000,194,311,0,39,821,53,1336,49,673,765,1438,121,9,3,6,9,94,592,181600
"179556",25025010408,2251,399000,2586.5,0.388429752066116,66736,84000,194,311,0,39,821,53,1336,49,673,765,1438,121,9,3,6,9,94,592,181600
"179683",25025010408,2115,399000,2586.5,0.388429752066116,66736,84000,194,311,0,39,821,53,1336,49,673,765,1438,121,9,3,6,9,94,592,181600
"179842",NA,2109,497888,2560.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,1934,217500
"179844",25025981000,2130,789950,1968,0.4375,0,0,6,0,1,1,2,0,2,9,6,5,11,8,0,0,0,1,7,3109,631960
"179847",25025981000,2131,789950,1968,0.4375,0,0,6,0,1,1,2,0,2,9,6,5,11,8,0,0,0,1,7,3109,631960
"179876",25025070103,2111,1915000,504,0.136363636363636,58750,0,68,369,0,68,236,34,589,128,348,403,751,11,4,0,4,0,3,556,0
"179889",25025981201,2128,737000,1882,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,1,6,1662,433000
"179890",25025981201,2127,737000,1882,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,1,6,1662,433000
"179903",25025981201,2125,737000,1882,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,1,6,1662,433000
"179908",25025061202,2118,2.7e+07,NA,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,192008,0
