"","ct20_id","zip","median_price","median_flip_horizon","perc_investor","r_mhi","o_mhi","lat.x","nhas","nhna","nhaa","nhwhi","pop_65o","pop_18_64","pop_u18","male","female","pop","num_sales_transactions","sum_institutional_investor","sum_large_investor","sum_medium_investor","sum_small_investor","sum_non_investor","median_intersf","mortgage.x"
"139969",25025140400,2136,260000,1938.5,0.402142857142857,33925,97500,1660,124,14,5164,493,1525,4813,1521,3603,4256,7859,700,78,16,17,26,563,1324,202155
"139972",25025140400,2126,260000,1938.5,0.402142857142857,33925,97500,1660,124,14,5164,493,1525,4813,1521,3603,4256,7859,700,78,16,17,26,563,1324,202155
"139979",25025140400,2131,260000,1938.5,0.402142857142857,33925,97500,1660,124,14,5164,493,1525,4813,1521,3603,4256,7859,700,78,16,17,26,563,1324,202155
"140943",25025140400,2130,260000,1938.5,0.402142857142857,33925,97500,1660,124,14,5164,493,1525,4813,1521,3603,4256,7859,700,78,16,17,26,563,1324,202155
"141875",25025000503,2135,301500,2554.5,0.391812865497076,83712,93618,212,381,7,82,1621,195,2145,78,1092,1326,2418,342,6,16,18,34,268,620,0
"142860",25025000806,2134,875000,2546.5,0.3,68333,0,208,530,0,150,949,40,1804,128,1031,941,1972,10,2,1,1,0,6,1943,461998.5
"142884",25025000202,2135,645000,2180,0.411522633744856,79573,115078,778,536,1,221,2394,423,3097,628,2065,2083,4148,243,8,10,13,12,200,2184,375000
"143010",25025000202,2136,645000,2180,0.411522633744856,79573,115078,778,536,1,221,2394,423,3097,628,2065,2083,4148,243,8,10,13,12,200,2184,375000
"143428",25025000202,2125,645000,2180,0.411522633744856,79573,115078,778,536,1,221,2394,423,3097,628,2065,2083,4148,243,8,10,13,12,200,2184,375000
"143441",25025091800,2125,380649.5,1569.5,0.321138211382114,0,73073,915,121,8,1567,195,444,2340,934,1748,1970,3718,246,19,25,28,16,158,2811,263504.5
"143443",25025091800,2121,380649.5,1569.5,0.321138211382114,0,73073,915,121,8,1567,195,444,2340,934,1748,1970,3718,246,19,25,28,16,158,2811,263504.5
"143444",25025091800,2122,380649.5,1569.5,0.321138211382114,0,73073,915,121,8,1567,195,444,2340,934,1748,1970,3718,246,19,25,28,16,158,2811,263504.5
"143481",25025091800,2124,380649.5,1569.5,0.321138211382114,0,73073,915,121,8,1567,195,444,2340,934,1748,1970,3718,246,19,25,28,16,158,2811,263504.5
"144214",25025101102,2126,378750,1494,0.353395061728395,41793,73264,874,17,13,3541,59,569,2869,1328,2129,2637,4766,324,38,25,15,17,229,3009,286502.5
"144225",25025101102,2127,378750,1494,0.353395061728395,41793,73264,874,17,13,3541,59,569,2869,1328,2129,2637,4766,324,38,25,15,17,229,3009,286502.5
"145094",25025051000,2128,435000,2185,0.394984326018809,59446,90536,1907,154,2,128,1906,566,2942,809,2056,2261,4317,319,26,5,15,21,252,1890,318155
"145831",25025100200,2124,335077,1040.5,0.297297297297297,30491,71667,621,33,9,1963,46,338,1795,786,1274,1645,2919,222,32,27,16,15,132,2369.5,272464
"145867",25025100200,2126,335077,1040.5,0.297297297297297,30491,71667,621,33,9,1963,46,338,1795,786,1274,1645,2919,222,32,27,16,15,132,2369.5,272464
"145966",25025100200,2125,335077,1040.5,0.297297297297297,30491,71667,621,33,9,1963,46,338,1795,786,1274,1645,2919,222,32,27,16,15,132,2369.5,272464
"146519",25025030302,2108,850000,2282,0.442953020134228,127553,0,157,195,2,103,1300,181,1564,99,1032,812,1844,149,2,0,6,9,132,1410,0
"146521",25025030302,2109,850000,2282,0.442953020134228,127553,0,157,195,2,103,1300,181,1564,99,1032,812,1844,149,2,0,6,9,132,1410,0
"146532",25025030302,2129,850000,2282,0.442953020134228,127553,0,157,195,2,103,1300,181,1564,99,1032,812,1844,149,2,0,6,9,132,1410,0
"146534",25025030302,2114,850000,2282,0.442953020134228,127553,0,157,195,2,103,1300,181,1564,99,1032,812,1844,149,2,0,6,9,132,1410,0
"146559",25025030302,2118,850000,2282,0.442953020134228,127553,0,157,195,2,103,1300,181,1564,99,1032,812,1844,149,2,0,6,9,132,1410,0
"146610",25025030302,2113,850000,2282,0.442953020134228,127553,0,157,195,2,103,1300,181,1564,99,1032,812,1844,149,2,0,6,9,132,1410,0
"146934",25025130300,2132,562000,2394,0.449748743718593,94904,148636,322,304,3,165,3543,861,2708,927,2116,2380,4496,597,13,8,19,20,537,1808,417000
"148381",25025040100,2129,699000,2274.5,0.453396524486572,79125,250001,99,94,3,17,2051,433,1590,337,1117,1243,2360,633,6,5,17,31,574,1117,417000
"148426",25025040100,2130,699000,2274.5,0.453396524486572,79125,250001,99,94,3,17,2051,433,1590,337,1117,1243,2360,633,6,5,17,31,574,1117,417000
